,gt_len,model_len,obstacle_hit
e18fa0f9-5912-4d1c-ab3d-4463a4cb05ec.pt,88.0,,
1ba9f3d8-94e5-4d2a-931f-e504eb6acaca.pt,42.0,,
b37a71e2-b7f8-4339-b321-47e1559a9593.pt,87.0,,
f4005d5b-c81b-42d3-9010-b6a26ef0ce6a.pt,107.0,,
1fc2d7a9-dad4-4b7f-b040-680bed5e10e6.pt,79.0,,
7aa0ef39-d538-4854-9720-3b50d5fff9d2.pt,67.0,,
c04d5a97-8218-4dc5-a00b-c82b91869a70.pt,46.0,,
5758d3ce-e752-4e4e-8ecc-2e99a66c355e.pt,83.0,,
a9de4cb6-441f-410c-841a-1435f92408da.pt,126.0,200.0,25.0
cec8930d-fe38-4b1a-9d98-21e8f344fa23.pt,110.0,183.0,38.0
ea138b75-c1b8-4de6-a3fa-a6a4494571b0.pt,99.0,277.0,73.0
07f6adfd-38a2-4eba-8b39-1182c529c476.pt,83.0,,
ab41f596-4dbd-4334-b2e9-28cf87efb167.pt,103.0,303.0,68.0
9300868a-6242-41c5-8144-3e87792b0278.pt,133.0,,
c754d9c8-9b0d-49af-828b-0f87338c66d9.pt,66.0,,
184ad05b-f678-492d-8bc8-805961efa229.pt,78.0,,
da5d3aac-dbba-4420-9ee6-c2fb31e7e7aa.pt,103.0,182.0,37.0
353d9640-b159-4db7-a003-6b36b004eee9.pt,90.0,,
b3153bb9-457e-4fe4-8830-56048dec8f97.pt,100.0,221.0,61.0
5442fa75-e7eb-493c-8bc5-ab7830029888.pt,79.0,,
38e7820a-d72f-4308-98f5-d0457e2a686a.pt,112.0,,
f1896266-1ffa-4088-9693-460ddf041b10.pt,99.0,376.0,85.0
ba6c9ef5-421a-465d-8f61-09527f05d6c4.pt,119.0,,
bb09f3cf-7dce-4d86-8a3d-5dbf3e6c6ab7.pt,92.0,,
38b574d6-57be-4b09-9bce-06e71540674a.pt,57.0,,
af6896a1-fe05-488f-81d5-5775421818b2.pt,58.0,,
6fc22bb8-8c46-43b1-9a55-727c774405e4.pt,119.0,206.0,62.0
080190b1-ffa2-4a7c-aceb-1512c48373b4.pt,88.0,,
2fcca929-9bd1-4322-abd7-e89047b247bf.pt,118.0,203.0,48.0
52284fc7-ab26-4acd-b9ed-c0baa0e802e6.pt,86.0,,
d59508b4-c671-4552-98cf-de61750b742e.pt,69.0,,
c3f10b48-04cc-4c83-b40a-961b47546959.pt,81.0,467.0,158.0
0042fc89-3225-4352-a323-b974b872d7f6.pt,69.0,,
56f1a478-af27-49d1-b05e-1d8855b448c4.pt,108.0,,
22cf2719-fd26-4efa-80ff-a2bb0798da89.pt,96.0,,
82f94b04-0d97-47ac-8645-a1b6ea6eac29.pt,59.0,,
0658107a-c843-4b44-92f4-9d6823006a95.pt,90.0,,
2d60f357-ec54-4145-b98e-0ffe2fe4b4ae.pt,98.0,,
f8aafc4c-2fe9-45e5-930a-241d9978cfe1.pt,74.0,,
b8716d2b-1ba2-4953-abf0-8016b419d167.pt,70.0,,
325a0519-b841-4306-b4f9-2595fdb92175.pt,104.0,,
0b604a53-dfbb-44c9-9eef-5b3aaf64049c.pt,69.0,,
d6db352e-8a7d-4657-ab8a-edfa9a696a4c.pt,107.0,,
7b08ea73-ee20-49e4-b1e4-acfdde9d2367.pt,87.0,504.0,33.0
07b05262-7186-4bde-91e3-828d036133fa.pt,97.0,281.0,68.0
0d71eb41-0013-43d3-ae46-e9fc8a6570d8.pt,108.0,183.0,64.0
d6b59263-8f5c-465b-9840-4cb57a2f911e.pt,106.0,147.0,51.0
11d7ff06-c7cf-4b29-a852-1cc9054faa42.pt,71.0,,
3632c42f-1f67-429d-ac84-5064ef55ee52.pt,99.0,220.0,33.0
428a8cbd-b992-4c66-9a23-8a3cb9f049bb.pt,56.0,,
8b5d89d3-76a6-4b00-bebf-1f6629c7b54a.pt,70.0,,
a55e72f9-e168-48fe-b472-019d81f31276.pt,86.0,,
10085168-3948-4186-a96d-c19eb6fafbf1.pt,100.0,,
4382f6ff-5237-4ac8-8c09-99ed04060d0c.pt,53.0,,
a9eed209-17a7-4dea-a726-880e2b48973b.pt,93.0,,
f7c52fcb-dd94-429c-9574-2b3e8cd6b691.pt,64.0,,
9466ed1f-c99e-4565-86ba-dfcde57aa3c3.pt,77.0,,
775c929f-2ede-4da3-96d6-2676dfb75e80.pt,76.0,,
146b1120-61ee-4cf1-90da-b4d6adb1bcea.pt,110.0,,
40d80914-5d2c-4599-b210-ad940f093500.pt,68.0,,
9ff71e3c-403a-43cd-b284-fd94ccbdcd3c.pt,108.0,,
0bf1593b-7c92-4257-b425-4e8affc63a03.pt,128.0,,
379c412a-198e-4cea-ba3d-99dace2c3fa6.pt,85.0,,
c438f8a3-d15e-41f1-acc7-e9b808df68bf.pt,107.0,,
8ecd7295-4688-4607-b7b7-3a29df3f3398.pt,103.0,,
da11271a-ec77-4e8a-917f-b42a35131823.pt,89.0,,
